Target,04-0482,05-0468,07-0190,11-0015,22-0160,22-0189,23-0021,23-0153,23-0227,23-0257,23-0258,23-0264,GBT28_CORE_STD,posctrl_iR1313F_1,posctrl_iR1313F_2
SELL,,,,,,,0.002512562814070352,,0.0009784735812133072,0.0030534351145038168,0.0004957858205255329,0.0113314447592068,0.00031011873117136273,0.03089324821769722,0.031882817643186304
STAT4,,,,,,,,,,0.0015267175572519084,,,0.0029165928288735305,0.00016891104794743955,0.00013166556945358788
IL27,,,,,,,,,,,,,,5.824518894739295e-6,
GATA3,,,,,,,,,,,,,0.00015505936558568136,0.00005242067005265365,0.000019749835418038184
SPI1,,,,,,,,,,,,,,0.00007571874563161083,0.0001119157340355497
IGFBP7,,,,,0.006600660066006601,0.014814814814814815,0.002512562814070352,0.016018306636155607,0.014677103718199608,0.013740458015267175,0.012890431333663858,0.014164305949008499,0.00003691889656801937,0.000099016821210568,0.0001053324555628703
PPARG,,,,,,,,,,,,,0.000051686455195227126,,
CD226,,,,,,,,,,,,,0.0005390158898930828,0.00006406970784213224,0.000019749835418038184
ITGAX,,,,,0.033003300330033,0.02962962962962963,0.017587939698492462,0.034324942791762014,0.025440313111545987,0.025954198473282442,0.010907288051561725,0.08498583569405099,0.0009082048555732766,0.00990750663995154,0.013331138907175773
CD5,,,,,,,,,,,,,0.004031543505227716,0.00046596151157914356,0.0003620803159973667
CISH,,,,,,,,0.002288329519450801,,,,,0.011068285191092209,0.0008969759097898514,0.000533245556287031
STAT5A,,,,,0.006600660066006601,,0.01256281407035176,0.002288329519450801,0.003913894324853229,0.004580152671755725,,0.0028328611898017,0.003721424774056353,0.007711663016634826,0.006129032258064516
IL10,,,,,,,,,,,0.0004957858205255329,,,,
IL6R,,,,,0.0033003300330033004,,,,0.0009784735812133072,0.0015267175572519084,,,7.383779313603875e-6,0.009977400866688411,0.007485187623436472
CD247,,,,,,,,,,,,,0.0031824088841632702,0.0010600624388425516,0.0011454904542462145
TBX21,,,,,,,,,,,,,0.00036918896568019374,0.0004368389171054471,0.0004739960500329164
EOMES,,,,,,,,,,,,,0.001114950676354185,0.00016308652905270025,0.0001250822909809085
S100B,,,,,,,,,,0.0015267175572519084,,,7.383779313603875e-6,,
ITGAE,,,,,0.006600660066006601,0.003703703703703704,0.01507537688442211,0.004576659038901602,0.005870841487279843,0.004580152671755725,0.004462072384729797,0.0113314447592068,0.0031528737669088546,0.00014561297236848235,0.00024358130348913759
IL1R2,,,,,,,,,,,,,7.383779313603875e-6,0.00023298075578957178,0.00015799868334430547
IL1R1,,,,,,,,,,,0.0004957858205255329,,,,
FOXP3,,,,,,,,,,,,,0.0004430267588162325,0.0007338893807371512,0.0005924950625411455
CCR6,,,,,,,,,,,,,0.0003618051863665899,0.0001106658590000466,0.00009874917709019091
SLAMF7,,,,,,,,,,,,,0.005471380471380472,0.002271562368948325,0.00184990125082291
CTLA4,,,,,,,,,,,,,0.00009598913107685037,,6.583278472679394e-6
PRDM1,,,,,,,,,,,,,7.383779313603875e-6,,6.583278472679394e-6
CD69,,,,,,,,,,,,,0.000022151337940811624,,
TNFRSF17,,,,,,,,,,,,,7.383779313603875e-6,0.00008736778342108941,0.00003949967083607637
CD101,,,,,,,,0.009153318077803204,0.003913894324853229,0.010687022900763359,0.001487357461576599,0.0084985835694051,0.005486148030007679,0.002813242626159079,0.002587228439763002
CD83,,,,,,,,,,,,,0.00001476755862720775,,
ZBTB7B,,,,,,,,,,,,,0.00001476755862720775,5.824518894739295e-6,0.000019749835418038184
S1PR1,,,,,,,,,,,,,0.00001476755862720775,,0.00003291639236339697
S100A6,,,,,0.0231023102310231,0.03333333333333333,0.02512562814070352,0.08695652173913043,0.07142857142857142,0.05801526717557252,0.08031730292513634,0.0226628895184136,0.09771693543623368,0.11522063277573272,0.13999341672152732
IL2RA,,,,,,,,,,,,,0.00004430267588162325,,
CD38,,,,,,,0.005025125628140704,,0.0009784735812133072,0.0015267175572519084,0.0009915716410510659,0.031161473087818695,0.0018533286077145727,0.00006989422673687154,0.00007899934167215274
MRC1,,,,,,,,,0.0029354207436399216,,,,,,
CD63,,,,,0.5082508250825083,0.25925925925925924,0.2185929648241206,0.47139588100686497,0.34148727984344424,0.5358778625954198,0.47992067426871593,0.34277620396600567,0.048408057179987,0.01659987885000699,0.01630678077682686
CCR7,,,,,,,,,,,,,0.0013364640557623013,0.010414239783793858,0.008841342988808426
TNF,,,,,,,,,,,,,0.00012552424833126588,5.824518894739295e-6,6.583278472679394e-6
BTK,,,,,,,,0.006864988558352402,,0.0015267175572519084,,,,0.0005125576627370579,0.00037524687294272546
IL13,,,,,,,,,,,,,0.002237285132021974,,
STAT6,,,,,0.0033003300330033004,,,,,,0.0009915716410510659,,0.0009894264280229193,0.005544941987791809,0.005404871626069783
CD40LG,,,,,,,,0.004576659038901602,0.0019569471624266144,,0.0009915716410510659,,0.029808317089018842,0.001007641768789898,0.0016063199473337721
IDO1,,,,,,,,,,,,,7.383779313603875e-6,,
KLF2,,,,,,,,,,,,,,0.00006989422673687154,0.00005924950625411455
CD8A,,,,,,,,,0.0009784735812133072,,,,0.003935554374150866,0.007606821676529519,0.005938117182356813
CD14,,,,,0.006600660066006601,0.025925925925925925,0.01256281407035176,0.006864988558352402,0.06947162426614481,0.007633587786259542,0.015369360436291522,0.06515580736543909,0.00016244314489928524,0.0718454405666092,0.06030941408821593
FAS,,,,,,0.003703703703703704,,,,,,,0.000059070234508831,0.00001164903778947859,0.00003949967083607637
SLC2A1,,,,,0.0033003300330033004,,,0.002288329519450801,,,,,0.00009598913107685037,0.00006406970784213224,0.000026333113890717576
IL2RG,,,,,0.0231023102310231,0.025925925925925925,0.002512562814070352,0.002288329519450801,0.016634050880626222,0.007633587786259542,0.014873574615765989,0.019830028328611898,0.13480565892846594,0.0809608126368762,0.09131665569453588
CCR3,,,,,,,,,,,,,0.00001476755862720775,0.00012813941568426448,0.0002699144173798552
TCF7,,,,,,,,,,,,,0.00006645401382243488,0.0022016681422114535,0.0018828176431863067
TLR4,,,,,,,,,,,,,,5.824518894739295e-6,
IKZF4,,,,,,,0.002512562814070352,,,,0.0004957858205255329,,0.0000295351172544155,,
TFRC,,,,,,,,,0.003913894324853229,,0.0009915716410510659,,0.004430267588162325,0.000029122594473696472,0.00003949967083607637
ELANE,,,,,,,,,,,,,,0.0001048413401053073,0.0001053324555628703
EBI3,,,,,,,,,,,,,7.383779313603875e-6,,
CD79B,,,,,,,,,,,0.0004957858205255329,,0.00031750251048496663,0.0010251153254741158,0.0010599078341013825
IL10RB,,,,,,0.011111111111111112,0.005025125628140704,0.002288329519450801,0.0009784735812133072,0.0030534351145038168,0.002478929102627665,0.0056657223796034,0.0010411128832181465,0.0009028004286845907,0.0006912442396313364
RORC,,,,,,,,0.002288329519450801,0.0009784735812133072,,,,,0.00011649037789478589,0.00007899934167215274
CD19,,,,,,,,,,,,,,0.00016308652905270025,0.0001250822909809085
LAG3,,,,,,,0.002512562814070352,,,,,0.0028328611898017,0.006962903892728454,0.0006814687106844974,0.0005595786701777485
RUNX3,,,,,,,,,,,,,0.004563175615807194,0.001759004706211267,0.0017248189598420014
CXCR5,,,,,,,,,,,,,7.383779313603875e-6,0.0006173990028423653,0.0004937458854509546
CR2,,,,,,,,,,,,,,0.00004659615115791436,0.00005266622778143515
CXCR3,,,,,,,,,,,,,0.02814696674345797,0.0009843436932109408,0.0009611586570111916
CD22,,,,,,,0.005025125628140704,0.004576659038901602,,0.0015267175572519084,0.0019831432821021317,0.0084985835694051,,0.0010251153254741158,0.001033574720210665
S100A4,,,,,,,,,0.0009784735812133072,,0.0004957858205255329,,0.07689467777187076,0.03285028656632962,0.02295589203423305
